"","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","julian_date"
"3686","Tree Swallow",500,44.1395559,-76.7227821,2000-09-09,"","Historical",NA,NA,NA,4,1,253
"6715","Tree Swallow",220,43.2736812,-79.8973833,2001-10-08,"","Historical",NA,NA,NA,2,0,281
"7683","Tree Swallow",220,43.2750182,-79.9056244,2001-10-08,"","Incidental",NA,NA,NA,NA,0,281
"9449","Tree Swallow",250,44.62895,-76.13395,2001-09-26,"07:30:00","Traveling",300,40,NA,7,1,269
"9903","Tree Swallow",1500,44.1464317,-77.3123789,2001-08-24,"","Historical",NA,NA,NA,1,0,236
"9904","Tree Swallow",2000,44.1464317,-77.3123789,2001-07-19,"","Historical",NA,NA,NA,1,0,200
"10278","Tree Swallow",1000,45.1988932,-75.820655,2001-07-09,"","Incidental",NA,NA,NA,NA,0,190
"10589","Tree Swallow",3000,44.1395559,-76.7227821,2001-08-05,"","Historical",NA,NA,NA,3,1,217
"10591","Tree Swallow",1000,44.1395559,-76.7227821,2001-09-23,"09:00:00","Traveling",300,14,NA,1,1,266
"12229","Tree Swallow",370,41.9124495,-82.5093198,2001-10-26,"","Historical",NA,NA,NA,2,0,299
"12571","Tree Swallow",250,42.0531936,-82.6002312,2001-10-25,"","Historical",NA,NA,NA,NA,0,298
"12628","Tree Swallow",300,44.1435369,-77.3453808,2001-09-02,"","Historical",NA,NA,NA,1,0,245
"12813","Tree Swallow",1525,42.0296751,-82.6048493,2001-10-17,"","Historical",NA,NA,NA,NA,0,290
"14521","Tree Swallow",1200,45.38333,-75.8,2002-08-22,"","Historical",30,NA,NA,2,1,234
"14526","Tree Swallow",250,45.41667,-75.75,2002-08-22,"","Historical",60,NA,NA,2,1,234
